start_index,success,rss,rmse,aic,bic,message,start_k1f,fit_k1f
9,True,1.3681358777086982e-07,6.16472013807579e-05,-695.9739561760996,-694.3904372376435,`gtol` termination condition is satisfied.,1.6953089382706428,0.40005931912633647
1,True,1.368135877776149e-07,6.164720138227753e-05,-695.9739561743247,-694.3904372358686,`xtol` termination condition is satisfied.,2.3809327652749207e-06,0.40005931990141175
0,True,1.3681358835505976e-07,6.164720151237374e-05,-695.9739560223808,-694.3904370839247,`xtol` termination condition is satisfied.,0.05976721822697637,0.4000593268158765
8,True,1.3681358877248514e-07,6.164720160641815e-05,-695.9739559125428,-694.3904369740867,`xtol` termination condition is satisfied.,0.5473711847885886,0.4000593091895052
3,True,1.3681359002410777e-07,6.164720188840415e-05,-695.9739555832011,-694.390436644745,`xtol` termination condition is satisfied.,1.952552297350304e-05,0.4000593342546981
2,True,1.368135938409605e-07,6.164720274832708e-05,-695.973954578866,-694.3904356404099,`xtol` termination condition is satisfied.,3.487539293327347e-05,0.40005934389485104
7,True,1.3681359613599721e-07,6.164720326539046e-05,-695.973953974969,-694.3904350365129,Both `ftol` and `xtol` termination conditions are satisfied.,8.630198494099935e-05,0.400059348160512
5,True,1.3681360591740243e-07,6.164720546910515e-05,-695.9739514011709,-694.3904324627148,`xtol` termination condition is satisfied.,0.4837951904411109,0.40005931916870224
4,True,1.368136068629092e-07,6.164720568212434e-05,-695.9739511523782,-694.390432213922,`xtol` termination condition is satisfied.,1.7034967431557413e-05,0.4000593629796086
6,True,1.3681361524456494e-07,6.164720757048055e-05,-695.9739489468986,-694.3904300084425,`gtol` termination condition is satisfied.,2.906798893408771,0.4000592885632065
