rank,start_index,model,success,message,cost,nfev,status,optimality,rss,mse,rmse,n_observations,n_nonlinear_parameters,n_linear_parameters,n_total_parameters,degrees_of_freedom,aic,bic,parameter_k1f
1,0,start_0,True,`xtol` termination condition is satisfied.,6.84067938903978e-08,9,3,2.440315498247142e-07,1.368135877807956e-07,5.067169917807244e-09,6.164720138299413e-05,36.0,1.0,8.0,9.0,27.0,-679.9739561734877,-665.7222857273828,0.40005931922310917
2,4,start_4,True,`xtol` termination condition is satisfied.,6.840679492104375e-08,24,3,3.0036275207034153e-07,1.368135898420875e-07,5.067169994151389e-09,6.164720184739565e-05,36.0,1.0,8.0,9.0,27.0,-679.9739556310965,-665.7222851849915,0.4000593335294008
3,8,start_8,True,`gtol` termination condition is satisfied.,6.840679842760626e-08,16,1,4.648762720919984e-10,1.3681359685521252e-07,5.06717025389676e-09,6.164720342742702e-05,36.0,1.0,8.0,9.0,27.0,-679.9739537857206,-665.7222833396156,0.40005931923252586
4,3,start_3,True,`xtol` termination condition is satisfied.,6.840679846796648e-08,20,3,1.1147793525411264e-07,1.3681359693593299e-07,5.067170256886407e-09,6.164720344561305e-05,36.0,1.0,8.0,9.0,27.0,-679.9739537644805,-665.7222833183755,0.40005931661634364
5,5,start_5,True,`xtol` termination condition is satisfied.,6.840679853734879e-08,23,3,3.652759584538446e-07,1.3681359707469758e-07,5.067170262025836e-09,6.164720347687619e-05,36.0,1.0,8.0,9.0,27.0,-679.9739537279671,-665.7222832818621,0.40005934974760526
6,7,start_7,True,`xtol` termination condition is satisfied.,6.840679856964834e-08,10,3,1.2202088601834249e-07,1.368135971392967e-07,5.067170264418396e-09,6.164720349143014e-05,36.0,1.0,8.0,9.0,27.0,-679.973953710969,-665.722283264864,0.40005928846001176
7,2,start_2,True,`xtol` termination condition is satisfied.,6.840679954007342e-08,24,3,1.8132788629593116e-07,1.3681359908014684e-07,5.067170336301735e-09,6.164720392869656e-05,36.0,1.0,8.0,9.0,27.0,-679.9739532002699,-665.7222827541649,0.40005933412421923
8,6,start_6,True,`gtol` termination condition is satisfied.,6.84068029604954e-08,5,1,2.861382845477636e-10,1.3681360592099083e-07,5.067170589666327e-09,6.16472054699136e-05,36.0,1.0,8.0,9.0,27.0,-679.9739514002267,-665.7222809541217,0.40005931920543875
9,1,start_1,True,`gtol` termination condition is satisfied.,6.840680296057305e-08,7,1,1.1957420047694645e-10,1.368136059211461e-07,5.067170589672077e-09,6.164720546994858e-05,36.0,1.0,8.0,9.0,27.0,-679.9739514001858,-665.7222809540808,0.40005931917781967
10,9,start_9,True,`gtol` termination condition is satisfied.,6.840680310229682e-08,6,1,5.037367034049807e-10,1.3681360620459363e-07,5.067170600170134e-09,6.164720553380826e-05,36.0,1.0,8.0,9.0,27.0,-679.9739513256018,-665.7222808794968,0.40005928850728867
