rank,start_index,model,success,message,cost,nfev,status,optimality,rss,mse,rmse,n_observations,n_nonlinear_parameters,n_linear_parameters,n_total_parameters,degrees_of_freedom,aic,bic,parameter_k1f,parameter_k2f
1,2,start_2,True,`gtol` termination condition is satisfied.,6.823509591733958e-08,13,1,1.001904173063482e-09,1.364701918346792e-07,5.248853532103046e-09,6.156978692568639e-05,36.0,2.0,8.0,10.0,26.0,-678.064428140642,-662.2292387560809,0.400059214021396,9.069336686646336
2,7,start_7,True,`gtol` termination condition is satisfied.,6.82723836971781e-08,15,1,1.6038399010261255e-09,1.365447673943562e-07,5.2517218228598545e-09,6.158660735418687e-05,36.0,2.0,8.0,10.0,26.0,-678.0447609383559,-662.2095715537948,0.4000596021363914,8.424817661647742
3,3,start_3,True,`gtol` termination condition is satisfied.,6.8317232667543e-08,14,1,8.286959687076344e-09,1.36634465335086e-07,5.255171743657153e-09,6.160683253392841e-05,36.0,2.0,8.0,10.0,26.0,-678.0211198588343,-662.1859304742732,0.4000592418977744,8.819817574056563
4,4,start_4,True,`gtol` termination condition is satisfied.,6.837204928480124e-08,21,1,4.17736639542706e-09,1.3674409856960248e-07,5.259388406523173e-09,6.163154372956236e-05,36.0,2.0,8.0,10.0,26.0,-677.9922456369654,-662.1570562524043,0.4000592379298107,0.02813464272382455
5,0,start_0,True,`xtol` termination condition is satisfied.,6.839651832847537e-08,19,3,1.1528398876732986e-08,1.367930366569507e-07,5.26127064065195e-09,6.1642571116106e-05,36.0,2.0,8.0,10.0,26.0,-677.9793642330429,-662.1441748484818,0.40005927086645,0.04141194854114628
6,9,start_9,True,`xtol` termination condition is satisfied.,6.840364045678144e-08,20,3,1.829514184547543e-08,1.3680728091356288e-07,5.261818496675495e-09,6.164578045250923e-05,36.0,2.0,8.0,10.0,26.0,-677.9756157488082,-662.1404263642471,0.4000592335297506,0.23079278627889002
7,1,start_1,True,`gtol` termination condition is satisfied.,6.840426052705714e-08,18,1,5.080727365299282e-10,1.368085210541143e-07,5.261866194389011e-09,6.164605985744441e-05,36.0,2.0,8.0,10.0,26.0,-677.9752894148793,-662.1401000303182,0.4000592283691115,0.19413553567190578
8,8,start_8,True,`gtol` termination condition is satisfied.,6.840720331966949e-08,10,1,1.1120538167225015e-09,1.3681440663933897e-07,5.262092563051499e-09,6.16473858685515e-05,36.0,2.0,8.0,10.0,26.0,-677.9737407064438,-662.1385513218827,0.4000592279667623,0.0004932495695804264
9,5,start_5,True,`gtol` termination condition is satisfied.,6.840815319293131e-08,15,1,2.6583073814680173e-09,1.3681630638586263e-07,5.262165630225486e-09,6.1647813871725e-05,36.0,2.0,8.0,10.0,26.0,-677.973240829262,-662.1380514447009,0.4000592919098312,0.0017962245671440393
10,6,start_6,True,`gtol` termination condition is satisfied.,6.840902820767927e-08,11,1,4.458126891073007e-09,1.3681805641535853e-07,5.262232939052251e-09,6.164820814178861e-05,36.0,2.0,8.0,10.0,26.0,-677.9727803530176,-662.1375909684565,0.4000592561884203,0.10136592408213277
