rank,model,success,rss,rmse,aic,bic,n_residuals,n_parameters,cost,nfev,message,delta_aic,delta_bic
1,start_11,True,6.01134135474686e-09,2.238180316452568e-05,-254.97429491132726,-254.48938826153926,12.0,1.0,3.0056706773734296e-09,5,`gtol` termination condition is satisfied.,0.0,0.0
2,start_1,True,6.0113413562437525e-09,2.2381803167312342e-05,-254.97429490833917,-254.48938825855117,12.0,1.0,3.0056706781218767e-09,8,`gtol` termination condition is satisfied.,2.988087999256095e-09,2.988087999256095e-09
3,start_3,True,6.011341383431379e-09,2.2381803217925678e-05,-254.9742948540665,-254.4893882042785,12.0,1.0,3.0056706917156896e-09,12,`gtol` termination condition is satisfied.,5.726076324208407e-08,5.726076324208407e-08
4,start_9,True,6.011341400448055e-09,2.2381803249604456e-05,-254.97429482009733,-254.48938817030933,12.0,1.0,3.0056707002240276e-09,7,`gtol` termination condition is satisfied.,9.122993560595205e-08,9.122993560595205e-08
5,start_10,True,6.011341401672004e-09,2.2381803251883e-05,-254.97429481765408,-254.48938816786608,12.0,1.0,3.005670700836002e-09,13,`gtol` termination condition is satisfied.,9.36731794354273e-08,9.36731794354273e-08
6,start_2,True,6.011341408348862e-09,2.2381803264312845e-05,-254.97429480432555,-254.48938815453755,12.0,1.0,3.005670704174431e-09,10,`gtol` termination condition is satisfied.,1.0700171060307184e-07,1.0700171060307184e-07
7,start_8,True,6.0113414121224374e-09,2.238180327133785e-05,-254.9742947967926,-254.4893881470046,12.0,1.0,3.0056707060612187e-09,8,`gtol` termination condition is satisfied.,1.1453465731392498e-07,1.1453465731392498e-07
8,start_0,True,6.011341417915898e-09,2.238180328212314e-05,-254.97429478522758,-254.48938813543958,12.0,1.0,3.005670708957949e-09,6,`gtol` termination condition is satisfied.,1.2609967825483182e-07,1.2609967825483182e-07
9,start_4,True,6.0113414241830765e-09,2.2381803293790316e-05,-254.97429477271686,-254.48938812292886,12.0,1.0,3.0056707120915383e-09,10,`gtol` termination condition is satisfied.,1.386104031553259e-07,1.386104031553259e-07
10,start_5,True,6.011341448481637e-09,2.2381803339025277e-05,-254.9742947242114,-254.4893880744234,12.0,1.0,3.0056707242408184e-09,10,`gtol` termination condition is satisfied.,1.8711585880737402e-07,1.8711585880737402e-07
11,start_6,True,6.011341458991926e-09,2.2381803358591562e-05,-254.9742947032305,-254.4893880534425,12.0,1.0,3.005670729495963e-09,9,`xtol` termination condition is satisfied.,2.0809676470889826e-07,2.0809676470889826e-07
12,start_7,True,6.011341467321041e-09,2.2381803374097303e-05,-254.97429468660368,-254.48938803681568,12.0,1.0,3.0056707336605205e-09,5,`gtol` termination condition is satisfied.,2.2472357841252233e-07,2.2472357841252233e-07
