time,amide_norm_observed,amide_norm_fit,amide_norm_residual
0,1.0,1.0,0.0
1,0.982,0.9894731037624177,0.007473103762417721
2,0.97,0.979057026411696,0.009057026411696034
3,0.961,0.9687505918703052,0.007750591870305246
4,0.9515,0.9585526522219017,0.007052652221901656
5,0.943,0.9484620651240054,0.0054620651240054885
6,0.935,0.9384777013237157,0.0034777013237156096
7,0.928,0.9285984446185425,0.0005984446185424153
8,0.92,0.9188231852990728,-0.0011768147009272312
9,0.914,0.9091508269485602,-0.004849173051439837
10,0.908,0.8995802869656003,-0.0084197130343997
