Folder,Timestamp,time,amide_integral,amide_percent
102,,0.0,408331377191.9688,100.0
105,,1.0,425399100297.3545,104.17987058030116
108,,2.0,401835485938.88855,98.40916186805153
111,,3.0,401903747617.2475,98.42587909385678
114,,4.0,401991608242.1183,98.44739608465846
117,,5.0,397534302169.20776,97.35580569462702
120,,6.0,398512160219.771,97.59528228280593
123,,7.0,403469697407.8537,98.80937883893516
126,,8.0,404231447886.1882,98.99593087017335
129,,9.0,402144357234.8416,98.48480418044912
132,,10.0,388111628141.6869,95.04820100053786
135,,11.0,398499381571.5258,97.59215280293762
138,,12.0,389506397549.7781,95.38977881845692
141,,13.0,386274924829.7263,94.59839395298954
144,,14.0,398790006557.2647,97.66332660979457
147,,15.0,392707701087.5609,96.17377527736186
150,,16.0,391275971423.0076,95.82314592470247
153,,17.0,392682159522.0364,96.16752017012514
156,,18.0,395724358491.6759,96.91255205833326
159,,19.0,381216929766.0929,93.35969535029668
162,,20.0,385204302292.3849,94.3361994224825
165,,21.0,384618970081.3209,94.19285207183576
168,,22.0,385510747313.686,94.41124754232293
171,,23.0,384877012066.3301,94.25604633008348
174,,24.0,370902242299.5452,90.8336373389138
177,,25.0,377331112541.9241,92.40806208348997
180,,26.0,370733942560.912,90.79242087894188
183,,27.0,373445854710.0047,91.45656581135978
186,,28.0,363858862819.3386,89.10871981515093
189,,29.0,362076110964.9749,88.67212543275902
192,,30.0,369293760007.2795,90.43972142108086
195,,31.0,366905175620.6712,89.85475917717145
198,,32.0,364078348651.2283,89.16247170495157
201,,33.0,358652056407.2818,87.8335774423401
204,,34.0,364541072922.1455,89.27579247743282
207,,35.0,368385858552.2752,90.21737714245896
210,,36.0,365052680459.3556,89.40108471941734
213,,37.0,356181248549.6036,87.22847874170398
216,,38.0,340735828386.5959,83.44590874445727
219,,39.0,351165004572.048,86.00000494376772
222,,40.0,344626371796.61786,84.39869945007892
225,,41.0,349052547047.19977,85.48266592873162
228,,42.0,350358457556.6626,85.8024822794719
231,,43.0,352744741257.8078,86.38688108750749
234,,44.0,341323532585.408,83.58983699284555
237,,45.0,345711727854.76404,84.66450220704803
240,,46.0,325218431998.2733,79.64571183207858
243,,47.0,330862474678.29944,81.02793298756247
246,,48.0,327658045293.4364,80.2431710114196
249,,49.0,337724278062.5546,82.70838268296495
252,,50.0,331053587999.37006,81.07473647407993
255,,51.0,321923875003.3687,78.83887768243258
258,,52.0,320685431310.4387,78.535583896526
