rank,model,success,rss,rmse,aic,bic,n_residuals,n_parameters,cost,nfev,message,delta_aic,delta_bic
1,start_10,True,0.00024008231295073596,0.005478164758278268,-81.31176211580026,-81.23232057412042,8.0,1.0,0.00012004115647536797,6,`gtol` termination condition is satisfied.,0.0,0.0
2,start_1,True,0.0002400823129507367,0.005478164758278277,-81.31176211580025,-81.23232057412041,8.0,1.0,0.00012004115647536835,7,`gtol` termination condition is satisfied.,1.4210854715202004e-14,1.4210854715202004e-14
3,start_3,True,0.0002400823129507386,0.0054781647582782984,-81.31176211580018,-81.23232057412034,8.0,1.0,0.0001200411564753693,6,`ftol` termination condition is satisfied.,8.526512829121202e-14,8.526512829121202e-14
4,start_0,True,0.00024008231295073913,0.0054781647582783045,-81.31176211580016,-81.23232057412032,8.0,1.0,0.00012004115647536957,7,`gtol` termination condition is satisfied.,9.947598300641403e-14,9.947598300641403e-14
5,start_7,True,0.00024008231295073919,0.0054781647582783045,-81.31176211580016,-81.23232057412032,8.0,1.0,0.00012004115647536957,9,`gtol` termination condition is satisfied.,9.947598300641403e-14,9.947598300641403e-14
6,start_6,True,0.00024008231295073948,0.005478164758278308,-81.31176211580015,-81.23232057412031,8.0,1.0,0.00012004115647536973,7,`gtol` termination condition is satisfied.,1.1368683772161603e-13,1.1368683772161603e-13
7,start_2,True,0.00024008231295074076,0.005478164758278323,-81.31176211580011,-81.23232057412027,8.0,1.0,0.00012004115647537038,9,`ftol` termination condition is satisfied.,1.5631940186722204e-13,1.5631940186722204e-13
8,start_11,True,0.0002400823129507417,0.005478164758278334,-81.31176211580008,-81.23232057412024,8.0,1.0,0.00012004115647537087,9,`gtol` termination condition is satisfied.,1.8474111129762605e-13,1.8474111129762605e-13
9,start_4,True,0.00024008231295074195,0.005478164758278337,-81.31176211580006,-81.23232057412022,8.0,1.0,0.00012004115647537095,9,`ftol` termination condition is satisfied.,1.9895196601282805e-13,1.9895196601282805e-13
10,start_5,True,0.00024008231295074352,0.005478164758278354,-81.31176211580002,-81.23232057412018,8.0,1.0,0.00012004115647537176,6,`ftol` termination condition is satisfied.,2.4158453015843406e-13,2.4158453015843406e-13
11,start_9,True,0.00024008231295075567,0.005478164758278493,-81.31176211579961,-81.23232057411977,8.0,1.0,0.00012004115647537783,7,`ftol` termination condition is satisfied.,6.536993168992922e-13,6.536993168992922e-13
12,start_8,True,0.00024008231295075878,0.005478164758278528,-81.31176211579951,-81.23232057411967,8.0,1.0,0.00012004115647537939,6,`ftol` termination condition is satisfied.,7.531752999057062e-13,7.531752999057062e-13
