data_column,species,fitted_species,scale_initial_guess,scale_fitted_value,scale_lower_bound,scale_upper_bound,scale_fixed,scale_fixed_value,offset_initial_guess,offset_fitted_value,offset_lower_bound,offset_upper_bound,offset_fixed,offset_fixed_value
G_tau_1p000000e-03_ms,A,A,1.0,0.036377051718375665,-1000000.0,1000000.0,False,,0.0,1.0026344235460525,-1000000.0,1000000.0,False,
G_tau_1p050000e-03_ms,A,A,1.0,0.053290914709608055,-1000000.0,1000000.0,False,,0.0,0.9916016400649523,-1000000.0,1000000.0,False,
G_tau_1p100000e-03_ms,A,A,1.0,0.049547062270562846,-1000000.0,1000000.0,False,,0.0,0.9958607648937664,-1000000.0,1000000.0,False,
G_tau_1p150000e-03_ms,A,A,1.0,0.046614814195134205,-1000000.0,1000000.0,False,,0.0,0.9943247664061506,-1000000.0,1000000.0,False,
G_tau_1p200000e-03_ms,A,A,1.0,0.040409137548952374,-1000000.0,1000000.0,False,,0.0,1.0007367469139203,-1000000.0,1000000.0,False,
G_tau_1p250001e-03_ms,A,A,1.0,0.032565451078278566,-1000000.0,1000000.0,False,,0.0,1.0060871558023154,-1000000.0,1000000.0,False,
G_tau_1p300001e-03_ms,A,A,1.0,0.0447335552281764,-1000000.0,1000000.0,False,,0.0,0.996951759530786,-1000000.0,1000000.0,False,
G_tau_1p350001e-03_ms,A,A,1.0,0.047952786229994646,-1000000.0,1000000.0,False,,0.0,0.9941198670807062,-1000000.0,1000000.0,False,
G_tau_1p400001e-03_ms,A,A,1.0,0.03358360843493238,-1000000.0,1000000.0,False,,0.0,1.0028664107518483,-1000000.0,1000000.0,False,
G_tau_1p450001e-03_ms,A,A,1.0,0.051555372621394174,-1000000.0,1000000.0,False,,0.0,0.9923914843186658,-1000000.0,1000000.0,False,
G_tau_1p500001e-03_ms,A,A,1.0,0.04868912046881429,-1000000.0,1000000.0,False,,0.0,0.9933515778282703,-1000000.0,1000000.0,False,
G_tau_1p550001e-03_ms,A,A,1.0,0.016529571307287143,-1000000.0,1000000.0,False,,0.0,1.014259274281901,-1000000.0,1000000.0,False,
G_tau_1p600001e-03_ms,A,A,1.0,0.06876487008463548,-1000000.0,1000000.0,False,,0.0,0.9810899290298221,-1000000.0,1000000.0,False,
G_tau_1p700001e-03_ms,A,A,1.0,0.031480714207366464,-1000000.0,1000000.0,False,,0.0,1.004461651492424,-1000000.0,1000000.0,False,
G_tau_1p800001e-03_ms,A,A,1.0,0.04933908468004071,-1000000.0,1000000.0,False,,0.0,0.9917710428161135,-1000000.0,1000000.0,False,
G_tau_1p900001e-03_ms,A,A,1.0,0.04113484135079105,-1000000.0,1000000.0,False,,0.0,0.9985906402756597,-1000000.0,1000000.0,False,
G_tau_2p000001e-03_ms,A,A,1.0,0.033184195589743885,-1000000.0,1000000.0,False,,0.0,1.002913859344894,-1000000.0,1000000.0,False,
G_tau_2p100001e-03_ms,A,A,1.0,0.050177567294377466,-1000000.0,1000000.0,False,,0.0,0.9940814122238975,-1000000.0,1000000.0,False,
G_tau_2p200001e-03_ms,A,A,1.0,0.031241701357665432,-1000000.0,1000000.0,False,,0.0,1.0056755314049637,-1000000.0,1000000.0,False,
G_tau_2p300001e-03_ms,A,A,1.0,0.053245723429929566,-1000000.0,1000000.0,False,,0.0,0.9905996760844894,-1000000.0,1000000.0,False,
G_tau_2p400001e-03_ms,A,A,1.0,0.048352199680540844,-1000000.0,1000000.0,False,,0.0,0.9944563486400448,-1000000.0,1000000.0,False,
G_tau_2p500001e-03_ms,A,A,1.0,0.03185556231916323,-1000000.0,1000000.0,False,,0.0,1.0037501040312184,-1000000.0,1000000.0,False,
G_tau_2p600001e-03_ms,A,A,1.0,0.03519587309607764,-1000000.0,1000000.0,False,,0.0,1.0032212721870066,-1000000.0,1000000.0,False,
