column,tau_ms
G_tau_1p000000e-03_ms,0.001
G_tau_1p050000e-03_ms,0.00105
G_tau_1p100000e-03_ms,0.0011
G_tau_1p150000e-03_ms,0.00115
G_tau_1p200000e-03_ms,0.0012
G_tau_1p250001e-03_ms,0.001250001
G_tau_1p300001e-03_ms,0.001300001
G_tau_1p350001e-03_ms,0.001350001
G_tau_1p400001e-03_ms,0.001400001
G_tau_1p450001e-03_ms,0.001450001
G_tau_1p500001e-03_ms,0.001500001
G_tau_1p550001e-03_ms,0.001550001
G_tau_1p600001e-03_ms,0.001600001
G_tau_1p700001e-03_ms,0.001700001
G_tau_1p800001e-03_ms,0.001800001
G_tau_1p900001e-03_ms,0.001900001
G_tau_2p000001e-03_ms,0.002000001
G_tau_2p100001e-03_ms,0.002100001
G_tau_2p200001e-03_ms,0.002200001
G_tau_2p300001e-03_ms,0.002300001
G_tau_2p400001e-03_ms,0.002400001
G_tau_2p500001e-03_ms,0.002500001
G_tau_2p600001e-03_ms,0.002600001
G_tau_2p700001e-03_ms,0.002700001
G_tau_2p800001e-03_ms,0.002800001
G_tau_2p900001e-03_ms,0.002900001
G_tau_3p000001e-03_ms,0.003000001
G_tau_3p100002e-03_ms,0.003100002
G_tau_3p200002e-03_ms,0.003200002
G_tau_3p400002e-03_ms,0.003400002
G_tau_3p600001e-03_ms,0.003600001
G_tau_3p800001e-03_ms,0.003800001
G_tau_4p000001e-03_ms,0.004000001
G_tau_4p200002e-03_ms,0.004200002
G_tau_4p400002e-03_ms,0.004400002
G_tau_4p600002e-03_ms,0.004600002
G_tau_4p800002e-03_ms,0.004800002
G_tau_5p000002e-03_ms,0.005000002
G_tau_5p200002e-03_ms,0.005200002
G_tau_5p400002e-03_ms,0.005400002
G_tau_5p600003e-03_ms,0.005600003
G_tau_5p800003e-03_ms,0.005800003
G_tau_6p000003e-03_ms,0.006000003
G_tau_6p200003e-03_ms,0.006200003
G_tau_6p400003e-03_ms,0.006400003
G_tau_6p800003e-03_ms,0.006800003
G_tau_7p200003e-03_ms,0.007200003
G_tau_7p600003e-03_ms,0.007600003
G_tau_8p000003e-03_ms,0.008000003
G_tau_8p400003e-03_ms,0.008400003
G_tau_8p800003e-03_ms,0.008800003
G_tau_9p200004e-03_ms,0.009200004
G_tau_9p600004e-03_ms,0.009600004
G_tau_1p000000e-02_ms,0.01
G_tau_1p040000e-02_ms,0.0104
G_tau_1p080000e-02_ms,0.0108
G_tau_1p120001e-02_ms,0.01120001
G_tau_1p160001e-02_ms,0.01160001
G_tau_1p200001e-02_ms,0.01200001
G_tau_1p240001e-02_ms,0.01240001
G_tau_1p280001e-02_ms,0.01280001
G_tau_1p360001e-02_ms,0.01360001
G_tau_1p440001e-02_ms,0.01440001
G_tau_1p520001e-02_ms,0.01520001
G_tau_1p600001e-02_ms,0.01600001
G_tau_1p680001e-02_ms,0.01680001
G_tau_1p760001e-02_ms,0.01760001
G_tau_1p840001e-02_ms,0.01840001
G_tau_1p920001e-02_ms,0.01920001
G_tau_2p000001e-02_ms,0.02000001
G_tau_2p080001e-02_ms,0.02080001
G_tau_2p160001e-02_ms,0.02160001
G_tau_2p240001e-02_ms,0.02240001
G_tau_2p320001e-02_ms,0.02320001
G_tau_2p400001e-02_ms,0.02400001
G_tau_2p480001e-02_ms,0.02480001
G_tau_2p560001e-02_ms,0.02560001
G_tau_2p720001e-02_ms,0.02720001
G_tau_2p880001e-02_ms,0.02880001
G_tau_3p040001e-02_ms,0.03040001
G_tau_3p200001e-02_ms,0.03200001
G_tau_3p360001e-02_ms,0.03360001
G_tau_3p520001e-02_ms,0.03520001
G_tau_3p680001e-02_ms,0.03680001
G_tau_3p840002e-02_ms,0.03840002
G_tau_4p000002e-02_ms,0.04000002
G_tau_4p160002e-02_ms,0.04160002
G_tau_4p320002e-02_ms,0.04320002
G_tau_4p480002e-02_ms,0.04480002
G_tau_4p640002e-02_ms,0.04640002
G_tau_4p800002e-02_ms,0.04800002
G_tau_4p960002e-02_ms,0.04960002
G_tau_5p120003e-02_ms,0.05120003
G_tau_5p440002e-02_ms,0.05440002
G_tau_5p760002e-02_ms,0.05760002
G_tau_6p080002e-02_ms,0.06080002
G_tau_6p400002e-02_ms,0.06400002
G_tau_6p720002e-02_ms,0.06720002
G_tau_7p040003e-02_ms,0.07040003
G_tau_7p360003e-02_ms,0.07360003
G_tau_7p680003e-02_ms,0.07680003
G_tau_8p000003e-02_ms,0.08000003
G_tau_8p320004e-02_ms,0.08320004
G_tau_8p640004e-02_ms,0.08640004
G_tau_8p960004e-02_ms,0.08960004
G_tau_9p280004e-02_ms,0.09280004
G_tau_9p600005e-02_ms,0.09600005
G_tau_9p920005e-02_ms,0.09920005
G_tau_1p024001e-01_ms,0.1024001
G_tau_1p088000e-01_ms,0.1088
G_tau_1p152000e-01_ms,0.1152
G_tau_1p216000e-01_ms,0.1216
G_tau_1p280000e-01_ms,0.128
G_tau_1p344000e-01_ms,0.1344
G_tau_1p408001e-01_ms,0.1408001
G_tau_1p472001e-01_ms,0.1472001
G_tau_1p536001e-01_ms,0.1536001
G_tau_1p600001e-01_ms,0.1600001
G_tau_1p664001e-01_ms,0.1664001
G_tau_1p728001e-01_ms,0.1728001
G_tau_1p792001e-01_ms,0.1792001
G_tau_1p856001e-01_ms,0.1856001
G_tau_1p920001e-01_ms,0.1920001
G_tau_1p984001e-01_ms,0.1984001
G_tau_2p048001e-01_ms,0.2048001
G_tau_2p176001e-01_ms,0.2176001
G_tau_2p304001e-01_ms,0.2304001
G_tau_2p432001e-01_ms,0.2432001
G_tau_2p560001e-01_ms,0.2560001
G_tau_2p688001e-01_ms,0.2688001
G_tau_2p816001e-01_ms,0.2816001
G_tau_2p944001e-01_ms,0.2944001
G_tau_3p072001e-01_ms,0.3072001
G_tau_3p200001e-01_ms,0.3200001
G_tau_3p328001e-01_ms,0.3328001
G_tau_3p456002e-01_ms,0.3456002
G_tau_3p584002e-01_ms,0.3584002
G_tau_3p712002e-01_ms,0.3712002
G_tau_3p840002e-01_ms,0.3840002
G_tau_3p968002e-01_ms,0.3968002
G_tau_4p096002e-01_ms,0.4096002
G_tau_4p352002e-01_ms,0.4352002
G_tau_4p608002e-01_ms,0.4608002
G_tau_4p864002e-01_ms,0.4864002
G_tau_5p120002e-01_ms,0.5120002
G_tau_5p376002e-01_ms,0.5376002
G_tau_5p632002e-01_ms,0.5632002
G_tau_5p888002e-01_ms,0.5888002
G_tau_6p144003e-01_ms,0.6144003
G_tau_6p400003e-01_ms,0.6400003
G_tau_6p656003e-01_ms,0.6656003
G_tau_6p912003e-01_ms,0.6912003
G_tau_7p168003e-01_ms,0.7168003
G_tau_7p424004e-01_ms,0.7424004
G_tau_7p680004e-01_ms,0.7680004
G_tau_7p936004e-01_ms,0.7936004
G_tau_8p192004e-01_ms,0.8192004
G_tau_8p704004e-01_ms,0.8704004
G_tau_9p216004e-01_ms,0.9216004
G_tau_9p728004e-01_ms,0.9728004
G_tau_1p024000e+00_ms,1.024
G_tau_1p075200e+00_ms,1.0752
G_tau_1p126400e+00_ms,1.1264
G_tau_1p177600e+00_ms,1.1776
G_tau_1p228801e+00_ms,1.228801
G_tau_1p280001e+00_ms,1.280001
G_tau_1p331201e+00_ms,1.331201
G_tau_1p382401e+00_ms,1.382401
G_tau_1p433601e+00_ms,1.433601
G_tau_1p484801e+00_ms,1.484801
G_tau_1p536001e+00_ms,1.536001
G_tau_1p587201e+00_ms,1.587201
G_tau_1p638401e+00_ms,1.638401
G_tau_1p740801e+00_ms,1.740801
G_tau_1p843201e+00_ms,1.843201
G_tau_1p945601e+00_ms,1.945601
G_tau_2p048001e+00_ms,2.048001
G_tau_2p150401e+00_ms,2.150401
G_tau_2p252801e+00_ms,2.252801
G_tau_2p355201e+00_ms,2.355201
G_tau_2p457601e+00_ms,2.457601
G_tau_2p560001e+00_ms,2.560001
G_tau_2p662401e+00_ms,2.662401
G_tau_2p764801e+00_ms,2.764801
G_tau_2p867201e+00_ms,2.867201
G_tau_2p969601e+00_ms,2.969601
G_tau_3p072002e+00_ms,3.072002
G_tau_3p174402e+00_ms,3.174402
G_tau_3p276802e+00_ms,3.276802
G_tau_3p481602e+00_ms,3.481602
G_tau_3p686402e+00_ms,3.686402
G_tau_3p891201e+00_ms,3.891201
G_tau_4p096001e+00_ms,4.096001
G_tau_4p300802e+00_ms,4.300802
G_tau_4p505602e+00_ms,4.505602
G_tau_4p710402e+00_ms,4.710402
G_tau_4p915202e+00_ms,4.915202
G_tau_5p120002e+00_ms,5.120002
G_tau_5p324802e+00_ms,5.324802
G_tau_5p529603e+00_ms,5.529603
G_tau_5p734403e+00_ms,5.734403
G_tau_5p939203e+00_ms,5.939203
G_tau_6p144003e+00_ms,6.144003
G_tau_6p348803e+00_ms,6.348803
G_tau_6p553603e+00_ms,6.553603
G_tau_6p963203e+00_ms,6.963203
G_tau_7p372803e+00_ms,7.372803
G_tau_7p782403e+00_ms,7.782403
G_tau_8p192003e+00_ms,8.192003
G_tau_8p601603e+00_ms,8.601603
G_tau_9p011203e+00_ms,9.011203
G_tau_9p420804e+00_ms,9.420804
G_tau_9p830404e+00_ms,9.830404
G_tau_1p024000e+01_ms,10.24
G_tau_1p064960e+01_ms,10.6496
G_tau_1p105921e+01_ms,11.05921
G_tau_1p146881e+01_ms,11.46881
G_tau_1p187841e+01_ms,11.87841
G_tau_1p228801e+01_ms,12.28801
G_tau_1p269761e+01_ms,12.69761
G_tau_1p310721e+01_ms,13.10721
G_tau_1p392641e+01_ms,13.92641
G_tau_1p474561e+01_ms,14.74561
G_tau_1p556481e+01_ms,15.56481
G_tau_1p638401e+01_ms,16.38401
G_tau_1p720321e+01_ms,17.20321
G_tau_1p802241e+01_ms,18.02241
G_tau_1p884161e+01_ms,18.84161
G_tau_1p966081e+01_ms,19.66081
G_tau_2p048001e+01_ms,20.48001
G_tau_2p129921e+01_ms,21.29921
G_tau_2p211841e+01_ms,22.11841
G_tau_2p293761e+01_ms,22.93761
G_tau_2p375681e+01_ms,23.75681
G_tau_2p457601e+01_ms,24.57601
G_tau_2p539521e+01_ms,25.39521
G_tau_2p621441e+01_ms,26.21441
G_tau_2p785281e+01_ms,27.85281
G_tau_2p949121e+01_ms,29.49121
G_tau_3p112961e+01_ms,31.12961
G_tau_3p276801e+01_ms,32.76801
G_tau_3p440641e+01_ms,34.40641
G_tau_3p604481e+01_ms,36.04481
G_tau_3p768321e+01_ms,37.68321
G_tau_3p932162e+01_ms,39.32162
G_tau_4p096002e+01_ms,40.96002
