time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.028355126061430626,329493.293312985,50601.20819753415
20.0,0.030255775414062096,1917628.3526348853,55323.98625289874
30.0,0.031263309855848825,2759498.9313718136,57827.53144660129
40.0,0.031612563994616774,3051326.954054023,58695.36631579212
50.0,0.031700871126317594,3125114.1845329395,58914.793946223464
60.0,0.03172122401320976,3142120.5477461815,58965.36727656689
70.0,0.03172581622527404,3145957.6852850057,58976.77811272809
80.0,0.031726847455835906,3146819.3557489887,58979.34053859632
90.0,0.0317270787365271,3147012.6081096716,58979.91523027813
100.0,0.03172713072967199,3147056.0522810663,58980.04442406306
110.0,0.03172714235030408,3147065.762190584,58980.07329928203
120.0,0.03172714495338348,3147067.9372586263,58980.079767474745
130.0,0.03172714552781598,3147068.4172400455,58980.08119483805
140.0,0.03172714565449811,3147068.5230924673,58980.08150962079
150.0,0.031727145683950755,3147068.5477023665,58980.081582805426
160.0,0.03172714568157979,3147068.545721247,58980.081576913995
170.0,0.031727145671658845,3147068.5374315483,58980.081552262185
180.0,0.031727145669125205,3147068.5353145045,58980.08154596654
190.0,0.03172714566874234,3147068.5349945873,58980.08154501517
200.0,0.03172714567247552,3147068.538113941,58980.08155429147
210.0,0.0317271456757109,3147068.5408173474,58980.08156233083
220.0,0.03172714567795865,3147068.54269551,58980.081567916095
