time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,-9.114893856897524e-05,-967532.6661176104,10600.908197534147
20.0,0.00010763041406229579,1161669.142590384,-33476.213747101254
30.0,0.0004070398558487266,2409600.0285843946,17827.23144660129
40.0,9.215399461667134e-05,2929323.8742067497,44295.06631579212
50.0,-0.001625918873682207,2919826.103358282,-4285.406053776533
60.0,-0.0008969309867901398,3062750.0153884087,44565.067276566886
70.0,-0.001131643774726361,2979450.406284794,18976.478112728088
80.0,-0.002224567544163794,3052618.924988696,-29820.859461403677
90.0,-0.001899198763473095,3016272.0643013674,-29820.284769721868
100.0,-0.0020518192703280133,3198487.7947768797,-29820.155575936937
110.0,-0.002426180149695825,3169820.3451157385,-29820.12670071797
120.0,-0.0016587175466161175,3124201.5848692437,44579.77976747474
130.0,-0.0029187919721836222,2761908.2830854324,-29820.118805161947
140.0,-0.003407304345501995,3231843.747410464,-29820.11849037921
150.0,-0.003178039316049347,3257031.580091646,-4220.1184171945715
160.0,-0.0027786293184203087,2663463.8845956163,21379.881576914
170.0,-0.0018337118283410572,2026338.4566519007,21379.881552262188
180.0,-0.0004006043308748958,-1905669.920625064,-4220.118454033458
190.0,0.003020595668742236,-1434166.881037347,-4220.118454984826
200.0,0.005470845672475817,-2505647.9838791494,-4220.1184457085255
210.0,0.007211595675711301,-17281732.530941725,-6620.218437669173
220.0,0.012213345677958752,-20869856.2536991,16579.681567916094
