time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.0006688988513516882,-2669849.252787136,1304.0323575062794
20.0,0.0004877749224121569,645554.9118964059,-36521.50041497461
30.0,0.00014095715659454347,1710757.5949161432,14885.750243583694
40.0,-0.0002870260974015479,2369480.436765892,42189.96036992999
50.0,-0.001934010898236492,2576984.327336241,-5459.6743206765095
60.0,-0.0011153693072706722,2903589.8194290167,44134.081241196094
70.0,-0.0012776552171202826,2956961.0428967737,19089.884603065555
80.0,-0.0023171767038338356,3128572.39399128,-29317.199412958085
90.0,-0.001953324483260528,3162660.573105003,-29037.817096098734
100.0,-0.0020783427658578116,3395283.18210966,-28838.2521963826
110.0,-0.0024329022410231535,3402751.4495466715,-28695.27276374746
120.0,-0.0016512172239414313,3383081.590400097,45807.28116660945
130.0,-0.002901063833555456,3039447.7326590596,-28518.80630519914
140.0,-0.00338221354100076,3522815.228985367,-28465.673181360515
150.0,-0.0031476445874886114,3557679.180206243,-2827.3975384325313
160.0,-0.0027444117218955524,2971085.6418447103,22800.18992779737
170.0,-0.0017967376513261316,2338989.107034551,22820.082543856646
180.0,-0.0003616419327016826,-1589392.1081246873,-2765.569602987147
190.0,0.0030609924388442025,-1115272.3061402533,-2755.218552022867
200.0,0.00551227740212434,-2184865.3011241215,-2747.749805389234
210.0,0.007253774220991702,-16959587.40941134,-5142.460434568122
220.0,0.012256063213595375,-20546727.835535552,18061.329171252037
