time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.0028910796555042563,-998238.881434794,12159.870951574667
20.0,0.0010695669683891303,-2685494.039290596,-41874.217007245315
30.0,0.0004278452485104549,-1042685.4829274288,9830.726816326467
40.0,-0.00017782397658262783,274217.21373285435,37988.73544469084
50.0,-0.0019346105501190092,1114600.1883449974,-8641.526595058429
60.0,-0.00118543689473629,1995542.353024019,41931.87872305326
70.0,-0.001392767216212329,2503927.8096285947,17730.722909485732
80.0,-0.0024622954789515206,3031177.914925737,-30000.544003752264
90.0,-0.00211899113627443,3332991.733071241,-29205.77190789087
100.0,-0.0022584381360735706,3761486.4026486343,-28627.176127664192
110.0,-0.002623338707193716,3909222.086483317,-28212.793458027227
120.0,-0.0018491769723854024,3988419.6657752334,46480.29737946695
130.0,-0.003104551914288073,3713663.557027445,-27713.982134299906
140.0,-0.0035897888788124707,4244605.130216236,-27570.68237431332
150.0,-0.00335825124752908,4312120.256387554,-1871.2581672414744
160.0,-0.002957269351223389,3747828.827543288,23797.509936469345
170.0,-0.0020112669850188697,3130908.831119152,23844.971204353933
180.0,-0.0005774118813737864,-787175.5707425904,-1722.3222584355244
190.0,0.0028443027817043054,-306087.03054719605,-1699.8065213589434
200.0,0.0052949068276637624,-1370974.0989974933,-1684.3175421287888
210.0,0.007035900258365958,-16142524.799019214,-4073.7678143397497
220.0,0.012037817586636745,-19727532.066969033,19133.452546334163
