time,fcs_amplitude_proxy,fcs_auc_proxy,fcs_half_tau_proxy
10.0,0.005339984439921595,-4779906.780231377,14123.998715591428
20.0,0.0034207024872315236,-3633586.9659038763,-34276.38037652969
30.0,0.002492620442766689,-2615188.3134319503,14927.717446517941
40.0,0.001608523686157222,-1774954.9470347734,40931.91474123001
50.0,-0.0004178119567756766,-1245905.5050027827,-7463.79001111984
60.0,7.086740051839846e-05,-507653.51331480406,41740.3052365303
70.0,-0.0003883932424153039,17544.18340213207,16544.500484657285
80.0,-0.0017023038851204306,702185.4745131445,-31851.204267692563
90.0,-0.001597122028054128,1277979.8048245083,-31447.009020042417
100.0,-0.0019697501709871335,2072486.5344880011,-31042.813771915433
110.0,-0.0025640783136928608,2656143.8177884356,-30638.618524265286
120.0,-0.0020165739566257584,3222857.3258332736,44165.476723384854
130.0,-0.0034966045993315847,3472897.986939137,-29830.228028964993
140.0,-0.004205070508318927,4555161.5695328405,-29426.036885929105
150.0,-0.004195757125828578,5192672.614908811,-3421.8490354537935
160.0,-0.004016298743338226,5211428.158210306,22582.338815498355
170.0,-0.003291332860847679,5186625.975860978,22986.526665973666
180.0,-0.0020781769785849016,1866940.838005744,-2209.2854830741853
190.0,0.001123071403905447,2950767.1152180657,-1805.0976321220369
200.0,0.0033533697863961966,2491609.246073316,-1400.9097816467256
210.0,0.004874168168886646,-11672152.066876259,-3396.821930694583
220.0,0.009655966551376696,-14647952.554207113,20207.265920257567
