column,tau_ms
G_tau_0.001_ms,0.001
G_tau_0.00105_ms,0.00105
G_tau_0.0011_ms,0.0011
G_tau_0.00115_ms,0.00115
G_tau_0.0012_ms,0.0012
G_tau_0.001250001_ms,0.001250001
G_tau_0.001300001_ms,0.001300001
G_tau_0.001350001_ms,0.001350001
G_tau_0.001400001_ms,0.001400001
G_tau_0.001450001_ms,0.001450001
G_tau_0.001500001_ms,0.001500001
G_tau_0.001550001_ms,0.001550001
G_tau_0.001600001_ms,0.001600001
G_tau_0.001700001_ms,0.001700001
G_tau_0.001800001_ms,0.001800001
G_tau_0.001900001_ms,0.001900001
G_tau_0.002000001_ms,0.002000001
G_tau_0.002100001_ms,0.002100001
G_tau_0.002200001_ms,0.002200001
G_tau_0.002300001_ms,0.002300001
G_tau_0.002400001_ms,0.002400001
G_tau_0.002500001_ms,0.002500001
G_tau_0.002600001_ms,0.002600001
G_tau_0.002700001_ms,0.002700001
G_tau_0.002800001_ms,0.002800001
G_tau_0.002900001_ms,0.002900001
G_tau_0.003000001_ms,0.003000001
G_tau_0.003100002_ms,0.003100002
G_tau_0.003200002_ms,0.003200002
G_tau_0.003400002_ms,0.003400002
G_tau_0.003600001_ms,0.003600001
G_tau_0.003800001_ms,0.003800001
G_tau_0.004000001_ms,0.004000001
G_tau_0.004200002_ms,0.004200002
G_tau_0.004400002_ms,0.004400002
G_tau_0.004600002_ms,0.004600002
G_tau_0.004800002_ms,0.004800002
G_tau_0.005000002_ms,0.005000002
G_tau_0.005200002_ms,0.005200002
G_tau_0.005400002_ms,0.005400002
G_tau_0.005600003_ms,0.005600003
G_tau_0.005800003_ms,0.005800003
G_tau_0.006000003_ms,0.006000003
G_tau_0.006200003_ms,0.006200003
G_tau_0.006400003_ms,0.006400003
G_tau_0.006800003_ms,0.006800003
G_tau_0.007200003_ms,0.007200003
G_tau_0.007600003_ms,0.007600003
G_tau_0.008000003_ms,0.008000003
G_tau_0.008400003_ms,0.008400003
G_tau_0.008800003_ms,0.008800003
G_tau_0.009200004_ms,0.009200004
G_tau_0.009600004_ms,0.009600004
G_tau_0.01_ms,0.01
