kind,name,value,lower_bound,upper_bound,fixed,tied_to,optimized,at_lower_bound,at_upper_bound,warning
parameter,k1f,0.4000591948209724,1e-06,10.0,False,,True,False,False,
initial_condition,A,1.0,0.0,2.0,True,,False,False,False,
initial_condition,B,0.0,0.0,2.0,True,,False,False,False,
observable_scale,A23_HN_scale,1.9997866414084293,0.0,1000000.0,False,,True,False,False,
observable_offset,A23_HN_offset,0.10020230556494843,-1000000.0,1000000.0,False,,True,False,False,
observable_scale,G45_HN_scale,1.4998627290802524,0.0,1000000.0,False,,True,False,False,
observable_offset,G45_HN_offset,0.2001470505174223,-1000000.0,1000000.0,False,,True,False,False,
observable_scale,L78_HN_scale,0.7999106667255143,0.0,1000000.0,False,,True,False,False,
observable_offset,L78_HN_offset,0.05008000780803118,-1000000.0,1000000.0,False,,True,False,False,
observable_scale,V90_HN_scale,2.9996766659045244,0.0,1000000.0,False,,True,False,False,
observable_offset,V90_HN_offset,0.20032120545776166,-1000000.0,1000000.0,False,,True,False,False,
